index,train,val,test
0,TCGA-BH-A0DE,TCGA-A8-A08B,TCGA-EW-A2FV
1,TCGA-BH-A0B5,TCGA-BH-A0DZ,TCGA-A2-A0CL
2,TCGA-D8-A1XC,TCGA-D8-A1XO,TCGA-AC-A8OS
3,TCGA-PL-A8LY,TCGA-A7-A13G,TCGA-A8-A07G
4,TCGA-A8-A06P,TCGA-XX-A89A,TCGA-D8-A1JU
5,TCGA-B6-A0RG,TCGA-A8-A07B,TCGA-A2-A4S2
6,TCGA-E9-A1NH,TCGA-B6-A0I5,TCGA-E2-A574
7,TCGA-AN-A0FY,TCGA-BH-A0DK,TCGA-AR-A252
8,TCGA-A8-A09K,TCGA-E9-A1N5,TCGA-D8-A1JJ
9,TCGA-S3-A6ZF,TCGA-BH-A201,TCGA-E2-A1LG
10,TCGA-AO-A03N,TCGA-AC-A2FB,TCGA-OL-A66L
11,TCGA-E9-A22G,TCGA-E2-A14T,TCGA-C8-A26W
12,TCGA-AC-A3OD,TCGA-OL-A6VQ,TCGA-OK-A5Q2
13,TCGA-AR-A1AU,TCGA-E2-A15M,TCGA-D8-A1X6
14,TCGA-D8-A1JT,TCGA-A7-A26E,TCGA-A7-A26H
15,TCGA-E9-A22D,TCGA-B6-A0IE,TCGA-GM-A2DM
16,TCGA-BH-A0B3,TCGA-E9-A244,TCGA-AN-A0FV
17,TCGA-UL-AAZ6,TCGA-A7-A425,TCGA-AR-A0U0
18,TCGA-A2-A04U,TCGA-E2-A15D,TCGA-AC-A2FK
19,TCGA-LD-A7W5,TCGA-AC-A2FF,TCGA-A8-A07W
20,TCGA-A2-A0CX,TCGA-AO-A129,TCGA-D8-A1XT
21,TCGA-A8-A08Z,TCGA-BH-A209,TCGA-BH-A0BM
22,TCGA-BH-A0E9,TCGA-E2-A56Z,TCGA-AC-A3W5
23,TCGA-LL-A7T0,TCGA-AR-A0U2,TCGA-AR-A2LH
24,TCGA-BH-A0DX,TCGA-AR-A2LL,TCGA-C8-A1HI
25,TCGA-E9-A1NC,TCGA-EW-A1OZ,TCGA-BH-A0BR
26,TCGA-AR-A0TQ,TCGA-E9-A5UO,TCGA-EW-A423
27,TCGA-E2-A1B4,TCGA-A8-A09Q,TCGA-OL-A66J
28,TCGA-D8-A27M,TCGA-LL-A73Y,TCGA-D8-A1Y0
29,TCGA-E9-A248,TCGA-AR-A24M,TCGA-E9-A226
30,TCGA-AO-A0JB,TCGA-AO-A0J3,TCGA-D8-A73U
31,TCGA-AO-A0JC,TCGA-E2-A1BC,TCGA-GM-A2DO
32,TCGA-EW-A1P6,TCGA-BH-A1ET,TCGA-A2-A0YG
33,TCGA-E2-A1AZ,TCGA-A8-A07O,TCGA-E2-A15O
34,TCGA-BH-A0DP,TCGA-D8-A1XS,TCGA-C8-A12Q
35,TCGA-BH-A208,TCGA-AR-A24O,TCGA-C8-A131
36,TCGA-D8-A1XC,TCGA-A2-A0CS,TCGA-AR-A24Q
37,TCGA-BH-A0DV,TCGA-A7-A6VX,TCGA-B6-A0WW
38,TCGA-A2-A04Q,TCGA-AR-A24T,TCGA-LL-A6FR
39,TCGA-B6-A0RN,TCGA-BH-A0BG,TCGA-AN-A0FD
40,TCGA-AN-A0XP,TCGA-EW-A6S9,TCGA-A8-A08I
41,TCGA-AC-A6IW,TCGA-A2-A0EY,TCGA-E9-A1NF
42,TCGA-AN-A0FZ,TCGA-AC-A3QQ,TCGA-B6-A0RE
43,TCGA-LD-A74U,TCGA-D8-A1Y3,TCGA-BH-A18S
44,TCGA-BH-A1FE,TCGA-EW-A1IY,TCGA-A8-A09A
45,TCGA-A2-A0YC,TCGA-D8-A1XR,TCGA-BH-A1FL
46,TCGA-B6-A2IU,TCGA-BH-A0H0,TCGA-D8-A1JA
47,TCGA-BH-A0HX,TCGA-A2-A0T5,TCGA-E9-A5FL
48,TCGA-BH-A18U,TCGA-A7-A6VY,TCGA-A2-A0ET
49,TCGA-E2-A1IL,TCGA-EW-A6SB,TCGA-B6-A0WT
50,TCGA-C8-A12U,TCGA-A2-A04X,TCGA-BH-A1EY
51,TCGA-E2-A15S,TCGA-AR-A24S,TCGA-A2-A04W
52,TCGA-AC-A4ZE,TCGA-A7-A13E,TCGA-AR-A254
53,TCGA-OL-A5RX,TCGA-A8-A0AD,TCGA-UU-A93S
54,TCGA-LL-A6FP,TCGA-BH-A0GZ,TCGA-BH-A1FN
55,TCGA-E9-A229,TCGA-BH-A0DT,TCGA-BH-A0C3
56,TCGA-D8-A27E,TCGA-BH-A1EN,TCGA-3C-AALJ
57,TCGA-AR-A1AX,TCGA-EW-A1J1,TCGA-EW-A1J3
58,TCGA-E9-A1NE,TCGA-BH-A1EV,TCGA-A7-A13G
59,TCGA-B6-A0I2,TCGA-EW-A1OX,TCGA-BH-A0BT
60,TCGA-A7-A5ZX,TCGA-AO-A1KR,TCGA-EW-A1PB
61,TCGA-D8-A3Z6,TCGA-E9-A1NG,TCGA-A8-A08R
62,TCGA-D8-A1JI,TCGA-E9-A24A,TCGA-A2-A3XX
63,TCGA-OK-A5Q2,TCGA-D8-A1XS,TCGA-E2-A109
64,TCGA-A2-A0EW,TCGA-E2-A153,TCGA-D8-A1XM
65,TCGA-E2-A1LI,TCGA-D8-A1XB,TCGA-BH-A18F
66,TCGA-E2-A1II,TCGA-AN-A0FJ,TCGA-BH-A0DH
67,TCGA-AR-A1AK,TCGA-AN-A0FK,TCGA-A2-A1G1
68,TCGA-PE-A5DC,TCGA-A2-A0YF,TCGA-BH-A0RX
69,TCGA-BH-A1FJ,TCGA-B6-A0RI,TCGA-B6-A0X0
70,TCGA-BH-A0HK,TCGA-BH-A0H6,TCGA-A2-A0YJ
71,TCGA-AR-A255,TCGA-D8-A1XZ,TCGA-Z7-A8R6
72,TCGA-AO-A0JE,TCGA-GM-A3NW,TCGA-D8-A145
73,TCGA-LL-A50Y,TCGA-C8-A12O,TCGA-D8-A1X8
74,TCGA-C8-A12N,TCGA-E2-A108,TCGA-A1-A0SI
75,TCGA-AO-A12F,TCGA-AR-A24K,TCGA-BH-A0HO
76,TCGA-B6-A0IH,TCGA-OL-A5S0,TCGA-D8-A27R
77,TCGA-BH-A0BS,TCGA-A2-A4S1,TCGA-A2-A0T4
78,TCGA-E2-A10C,TCGA-BH-A0BZ,TCGA-A2-A0EN
79,TCGA-Z7-A8R5,TCGA-AO-A03V,TCGA-A2-A0SX
80,TCGA-LL-A73Z,TCGA-E9-A2JT,TCGA-BH-A0B7
81,TCGA-A2-A0EM,TCGA-LD-A9QF,TCGA-A2-A25B
82,TCGA-E9-A1NA,TCGA-AR-A0TR,TCGA-A8-A08O
83,TCGA-A1-A0SQ,TCGA-AC-A6IX,TCGA-A7-A0CJ
84,TCGA-A1-A0SP,TCGA-BH-A42U,TCGA-E2-A10B
85,TCGA-A2-A0CK,TCGA-EW-A6SA,TCGA-B6-A0X5
86,TCGA-EW-A1J5,TCGA-A2-A04V,TCGA-A7-A13F
87,TCGA-XX-A899,TCGA-D8-A3Z6,TCGA-A2-A0CM
88,TCGA-C8-A1HE,TCGA-AN-A0AT,TCGA-OL-A5D8
89,TCGA-BH-A1FG,TCGA-AN-A0FF,TCGA-D8-A1XQ
90,TCGA-AR-A0TY,TCGA-A2-A25A,TCGA-A7-A5ZW
91,TCGA-D8-A73W,TCGA-BH-A203,TCGA-A2-A25F
92,TCGA-A2-A0CV,TCGA-E9-A243,TCGA-B6-A0I1
93,TCGA-E2-A10A,TCGA-C8-A8HQ,TCGA-E9-A1N4
94,TCGA-E2-A1B1,TCGA-5L-AAT0,TCGA-BH-A1FM
95,TCGA-A8-A09B,TCGA-B6-A0RT,TCGA-D8-A27W
96,TCGA-B6-A0IK,TCGA-E9-A1N3,TCGA-C8-A278
97,TCGA-D8-A1XL,TCGA-AO-A1KS,TCGA-AR-A1AI
98,TCGA-B6-A0IJ,TCGA-LL-A5YP,TCGA-AR-A24W
99,TCGA-D8-A1XW,TCGA-AN-A041,TCGA-D8-A27T
100,TCGA-BH-A0E2,TCGA-AO-A03R,TCGA-D8-A1JE
101,TCGA-PL-A8LZ,TCGA-EW-A1IW,TCGA-A8-A0A4
102,TCGA-BH-A0DG,,TCGA-E9-A1NI
103,TCGA-A2-A0T3,,
104,TCGA-BH-A1FH,,
105,TCGA-BH-A0W5,,
106,TCGA-BH-A18I,,
107,TCGA-C8-A12L,,
108,TCGA-AO-A1KO,,
109,TCGA-C8-A12V,,
110,TCGA-A2-A04P,,
111,TCGA-C8-A12Y,,
112,TCGA-A8-A0A2,,
113,TCGA-LL-A7SZ,,
114,TCGA-WT-AB41,,
115,TCGA-E2-A15K,,
116,TCGA-B6-A0RM,,
117,TCGA-D8-A3Z6,,
118,TCGA-A7-A0CD,,
119,TCGA-AR-A1AH,,
120,TCGA-A7-A5ZX,,
121,TCGA-C8-A12M,,
122,TCGA-AO-A0J7,,
123,TCGA-GM-A2DK,,
124,TCGA-AR-A2LR,,
125,TCGA-A7-A26F,,
126,TCGA-A2-A3XT,,
127,TCGA-D8-A1J8,,
128,TCGA-A7-A13D,,
129,TCGA-BH-A0BW,,
130,TCGA-C8-A273,,
131,TCGA-B6-A0RP,,
132,TCGA-A7-A0DA,,
133,TCGA-A8-A0A9,,
134,TCGA-C8-A132,,
135,TCGA-E9-A1RA,,
136,TCGA-AO-A0JA,,
137,TCGA-A8-A08X,,
138,TCGA-S3-A6ZH,,
139,TCGA-AO-A126,,
140,TCGA-A7-A0CE,,
141,TCGA-E9-A1RG,,
142,TCGA-A8-A09N,,
143,TCGA-BH-A0HY,,
144,TCGA-AQ-A04H,,
145,TCGA-D8-A1Y1,,
146,TCGA-C8-A3M8,,
147,TCGA-A7-A0CD,,
148,TCGA-E2-A1LB,,
149,TCGA-D8-A1X7,,
150,TCGA-B6-A1KI,,
151,TCGA-AC-A3HN,,
152,TCGA-E2-A14Q,,
153,TCGA-AO-A03O,,
154,TCGA-AO-A0J4,,
155,TCGA-D8-A13Y,,
156,TCGA-LL-A5YO,,
157,TCGA-A8-A09C,,
158,TCGA-D8-A27R,,
159,TCGA-BH-A0H9,,
160,TCGA-AR-A1AO,,
161,TCGA-HN-A2OB,,
162,TCGA-A2-A0CQ,,
163,TCGA-E2-A1IK,,
164,TCGA-A2-A1G4,,
165,TCGA-BH-A0WA,,
166,TCGA-OL-A66O,,
167,TCGA-5L-AAT1,,
168,TCGA-A8-A08L,,
169,TCGA-A2-A0D0,,
170,TCGA-E2-A1LH,,
171,TCGA-EW-A1OV,,
