index,train,val,test
0,TCGA-HW-8319,TCGA-TM-A7C3,TCGA-DH-A66F
1,TCGA-FG-5965,TCGA-CS-6186,TCGA-HT-7693
2,TCGA-HT-8564,TCGA-DB-A64W,TCGA-06-0210
3,TCGA-DU-6406,TCGA-HT-8113,TCGA-FG-8189
4,TCGA-HT-7608,TCGA-S9-A7R8,TCGA-HT-7692
5,TCGA-DU-7306,TCGA-06-0141,TCGA-S9-A7J0
6,TCGA-TM-A84H,TCGA-DH-A7UV,TCGA-14-1034
7,TCGA-HT-A4DV,TCGA-QH-A6X9,TCGA-DB-A64R
8,TCGA-RY-A83Z,TCGA-HT-7694,TCGA-26-5135
9,TCGA-FG-6692,TCGA-HT-7467,TCGA-HT-7603
10,TCGA-TM-A84F,TCGA-FG-6691,TCGA-HT-A617
11,TCGA-HT-7607,TCGA-19-2619,TCGA-QH-A6CX
12,TCGA-HT-7479,TCGA-QH-A6XA,TCGA-DU-7008
13,TCGA-S9-A7J2,TCGA-HW-7487,TCGA-S9-A6WP
14,TCGA-HT-A74J,TCGA-TQ-A7RF,TCGA-06-0649
15,TCGA-DU-8168,TCGA-06-0190,TCGA-DH-A669
16,TCGA-06-0238,TCGA-FG-A4MU,TCGA-DU-6394
17,TCGA-S9-A7J3,TCGA-06-0744,TCGA-HW-7495
18,TCGA-EZ-7264,TCGA-S9-A7QX,TCGA-TM-A84M
19,TCGA-HT-A4DS,TCGA-S9-A7R4,TCGA-TQ-A7RN
20,TCGA-DU-7304,TCGA-TQ-A7RO,TCGA-WY-A85C
21,TCGA-HT-7468,TCGA-HT-8018,TCGA-HT-8110
22,TCGA-QH-A6CV,TCGA-19-5960,TCGA-DU-5874
23,TCGA-QH-A6CZ,TCGA-FG-A711,TCGA-FG-A4MX
24,TCGA-DU-6404,TCGA-S9-A6U9,TCGA-DB-A64O
25,TCGA-HT-A5RC,TCGA-VM-A8CB,TCGA-26-5132
26,TCGA-DH-A66D,TCGA-14-1825,TCGA-S9-A6U0
27,TCGA-DH-A7UR,TCGA-HT-A74O,TCGA-DU-6392
28,TCGA-S9-A6TS,TCGA-RY-A83X,TCGA-41-3915
29,TCGA-TM-A7C5,TCGA-FG-8188,TCGA-12-0619
30,TCGA-DB-5278,TCGA-DU-5847,TCGA-26-5136
31,TCGA-FG-7634,TCGA-08-0386,TCGA-S9-A6U1
32,TCGA-VM-A8CF,TCGA-HT-7601,TCGA-DU-7013
33,TCGA-HT-7875,TCGA-QH-A65X,TCGA-S9-A6WQ
34,TCGA-DB-5281,TCGA-DU-7018,TCGA-TQ-A7RJ
35,TCGA-DU-7015,TCGA-HT-7609,TCGA-HW-7490
36,TCGA-HW-8321,TCGA-12-0618,TCGA-DB-A4XH
37,TCGA-FG-5963,TCGA-06-5413,TCGA-DB-A4XE
38,TCGA-HT-7483,TCGA-HT-7680,TCGA-06-5410
39,TCGA-FG-A60L,TCGA-S9-A6U2,TCGA-TM-A84T
40,TCGA-R8-A6MO,TCGA-CS-6667,TCGA-DU-5849
41,TCGA-HT-7681,TCGA-FG-A87N,TCGA-HT-7477
42,TCGA-DU-8164,TCGA-HT-7884,TCGA-DU-8163
43,TCGA-S9-A6U6,TCGA-HT-8111,TCGA-06-0645
44,TCGA-FG-A60K,TCGA-HT-7689,TCGA-06-0644
45,TCGA-HT-7860,TCGA-F6-A8O3,TCGA-HT-7481
46,TCGA-DB-A64V,TCGA-HW-A5KM,TCGA-VM-A8C9
47,TCGA-DU-7290,TCGA-06-0130,TCGA-14-1829
48,TCGA-DU-6400,TCGA-DH-A66F,TCGA-DH-A7US
49,TCGA-HT-A5RA,TCGA-HT-7693,
50,TCGA-DU-7006,TCGA-06-0210,
51,TCGA-FG-6689,TCGA-FG-8189,
52,TCGA-WY-A85B,TCGA-HT-7692,
53,TCGA-VM-A8CH,TCGA-S9-A7J0,
54,TCGA-TM-A84R,TCGA-14-1034,
55,TCGA-DB-A4XG,TCGA-DB-A64R,
56,TCGA-DU-8166,TCGA-26-5135,
57,TCGA-TM-A7CA,TCGA-HT-7603,
58,TCGA-S9-A6WI,TCGA-HT-A617,
59,TCGA-TQ-A7RG,TCGA-QH-A6CX,
60,TCGA-S9-A89Z,TCGA-DU-7008,
61,TCGA-QH-A6X8,TCGA-S9-A6WP,
62,TCGA-DB-A64L,TCGA-06-0649,
63,TCGA-HT-A5R7,TCGA-DH-A669,
64,TCGA-HW-A5KJ,TCGA-DU-6394,
65,TCGA-DU-7292,TCGA-HW-7495,
66,TCGA-HW-A5KL,TCGA-TM-A84M,
67,TCGA-DU-7009,TCGA-TQ-A7RN,
68,TCGA-DU-7300,TCGA-WY-A85C,
69,TCGA-TM-A84O,TCGA-HT-8110,
70,TCGA-06-0168,TCGA-DU-5874,
71,TCGA-DB-A64U,TCGA-FG-A4MX,
72,TCGA-41-5651,TCGA-DB-A64O,
73,TCGA-06-0171,TCGA-26-5132,
74,TCGA-VV-A829,TCGA-S9-A6U0,
75,TCGA-R8-A6MK,TCGA-DU-6392,
76,TCGA-DU-6393,TCGA-41-3915,
77,TCGA-DB-5274,TCGA-12-0619,
78,TCGA-TM-A7C4,TCGA-26-5136,
79,TCGA-HT-7604,TCGA-S9-A6U1,
80,TCGA-HW-A5KK,TCGA-DU-7013,
81,TCGA-QH-A6X4,TCGA-S9-A6WQ,
82,TCGA-DU-7007,TCGA-TQ-A7RJ,
83,TCGA-FG-6690,TCGA-HW-7490,
84,TCGA-WY-A859,TCGA-DB-A4XH,
85,TCGA-TQ-A7RH,TCGA-DB-A4XE,
86,TCGA-HT-7676,TCGA-06-5410,
87,TCGA-DU-5870,TCGA-TM-A84T,
88,TCGA-DU-8158,TCGA-DU-5849,
89,TCGA-FG-A6J1,TCGA-HT-7477,
90,TCGA-DU-6399,TCGA-DU-8163,
91,TCGA-DU-5852,TCGA-06-0645,
92,TCGA-S9-A7IY,TCGA-06-0644,
93,TCGA-S9-A6WH,TCGA-HT-7481,
94,TCGA-DB-5275,TCGA-VM-A8C9,
95,TCGA-DU-6403,TCGA-14-1829,
96,TCGA-TQ-A7RU,TCGA-DH-A7US,
97,TCGA-HT-A74L,,
98,TCGA-DB-A75M,,
99,TCGA-HT-A5RB,,
100,TCGA-41-4097,,
101,TCGA-DU-7301,,
102,TCGA-HT-7879,,
103,TCGA-DB-A64X,,
104,TCGA-HT-8104,,
105,TCGA-CS-5397,,
106,TCGA-HT-7877,,
107,TCGA-06-0750,,
108,TCGA-DU-6401,,
109,TCGA-DB-5280,,
110,TCGA-HW-8322,,
111,TCGA-06-0878,,
112,TCGA-DU-5855,,
113,TCGA-27-1834,,
114,TCGA-DU-5854,,
115,TCGA-HT-7857,,
116,TCGA-FG-A87Q,,
